"0","show","흑백요리사 시즌2","셰누프라이빗키친","restaurant","안녕 봉주르(고효일)","","","","서울 용산구 이태원","0.0","0.0","","2026-01-27"
"0","show","흑백요리사 시즌2","드레스덴 그린","restaurant","천생연분(박가람)","","","","서울 강남구 청담동","0.0","0.0","","2026-01-27"
"0","show","흑백요리사 시즌2","소바쥬","restaurant","무쇠팔(박주성)","","","","서울 마포구 도화동","0.0","0.0","","2026-01-27"
"0","show","흑백요리사 시즌2","모노로그","restaurant","칼마카세","","","","서울 강남구 청담동","0.0","0.0","","2026-01-27"
"0","show","흑백요리사 시즌2","독도16도","restaurant","4평 외톨이","","","","서울 종로구 노하동","0.0","0.0","","2026-01-27"
"0","show","흑백요리사 시즌2","수퍼판","restaurant","서울엄마(우정욱)","","","","서울 강남구 신사동","0.0","0.0","","2026-01-27"
"0","show","흑백요리사 시즌2","온지음 레스토랑","restaurant","반찬술사","","","","서울 종로구 창성동","0.0","0.0","","2026-01-27"
"0","show","흑백요리사 시즌2","옥동식","restaurant","뉴욕에 간 돼지곰탕","","","","서울 마포구 서교동","0.0","0.0","","2026-01-27"
"0","show","흑백요리사 시즌2","더 이탈리안 클럽","restaurant","키친보스(김호윤)","","","","서울 송파구 잠실신천동","0.0","0.0","","2026-01-27"
"0","show","흑백요리사 시즌2","해방촌 윤주당","restaurant","술 빚는 윤주모","","","","서울 용산구 용산동","0.0","0.0","","2026-01-27"
"0","show","흑백요리사 시즌2","동경밥상 본점","restaurant","부채도사(김태우)","","","","부산 수영구 남천동","0.0","0.0","","2026-01-27"
"0","show","흑백요리사 시즌2","유용욱바베큐연구소","restaurant","바베큐연구소장","","","","서울 용산구 남영동","0.0","0.0","","2026-01-27"
"0","show","흑백요리사 시즌2","오리지널 넘버스","restaurant","삐딱한 천재(이찬양)","","","","서울 강남구 청담동 도산대로","0.0","0.0","","2026-01-27"
"0","show","흑백요리사 시즌2","BISTYROT de YOUNTVILLE","restaurant","프렌치 파파","","","","서울 강남구 청담동","0.0","0.0","","2026-01-27"
"0","show","흑백요리사 시즌2","쌤쌤쌤 용산점","restaurant","유행왕","","","","서울 용산구 한강로","0.0","0.0","","2026-01-27"
"0","show","흑백요리사 시즌2","금룡","restaurant","중식 마녀(이문정)","","","","서울 광진구 워커힐로 그랜드 워커힐 서울","0.0","0.0","","2026-01-27"
"0","show","흑백요리사 시즌2","솔밤","restaurant","아기 맹수","","","","서울 강남구 학동로","0.0","0.0","","2026-01-27"
"0","show","흑백요리사 시즌2","Oyatte","restaurant","요리 괴물(이하성)","","","","New York, USA","0.0","0.0","","2026-01-27"
"0","show","흑백요리사 시즌2","스와니예","restaurant","이준","","","","서울 강남구","0.0","0.0","","2026-01-27"
"0","show","흑백요리사 시즌2","이타닉 가든","restaurant","손종원","","","","서울 강남구 조선팰리스 서울 강남","0.0","0.0","","2026-01-27"
"0","show","흑백요리사 시즌2","라망 시크레","restaurant","손종원","","","","서울 강남구","0.0","0.0","","2026-01-27"
"0","show","흑백요리사 시즌2","호빈","restaurant","후덕죽","","","","서울 중구 을지로 앰배서더 서울 풀만호텔 2층","0.0","0.0","","2026-01-27"
"0","show","흑백요리사 시즌2","카덴","restaurant","정호영","","","","서울 서대문구 연희동","0.0","0.0","","2026-01-27"
"0","show","흑백요리사 시즌2","뜨라또리아 샘킴","restaurant","샘킴","","","","서울 마포구 도산대로","0.0","0.0","","2026-01-27"
"0","show","흑백요리사 시즌2","오스리아 샘킴","restaurant","샘킴","","","","서울 강남구","0.0","0.0","","2026-01-27"
"0","show","흑백요리사 시즌2","시리얼고메2.0","restaurant","레이먼킴","","","","경기 화성시 동탄","0.0","0.0","","2026-01-27"
"0","show","흑백요리사 시즌2","KOCHI","restaurant","심성철","","","","New York, USA","0.0","0.0","","2026-01-27"
"0","show","흑백요리사 시즌2","Mari","restaurant","심성철","","","","New York, USA","0.0","0.0","","2026-01-27"
"0","show","흑백요리사 시즌2","소울","restaurant","김희은","","","","서울 강남구","0.0","0.0","","2026-01-27"
"0","show","흑백요리사 시즌2","에그앤플라워","restaurant","김희은","","","","서울 강남구","0.0","0.0","","2026-01-27"
"0","show","흑백요리사 시즌2","고료리 켄","restaurant","김건","","","","서울 강남구 압구정동","0.0","0.0","","2026-01-27"
"0","show","흑백요리사 시즌2","이치에","restaurant","김건","","","","서울 강남구 신사동","0.0","0.0","","2026-01-27"
"0","show","흑백요리사 시즌2","회현식당","restaurant","김건","","","","서울 중구 회현동","0.0","0.0","","2026-01-27"
"0","show","흑백요리사 시즌2","천상현의 천상","restaurant","천상현","","","","경기 가평군","0.0","0.0","","2026-01-27"
"0","show","흑백요리사 시즌2","봉래헌","restaurant","이금희","","","","서울 강서구 메이필드호텔","0.0","0.0","","2026-01-27"
"0","show","흑백요리사 시즌2","Namu","restaurant","제니 월든","","","","Malmö, Sweden","0.0","0.0","","2026-01-27"
"0","show","흑백요리사 시즌2","Gaji","restaurant","제니 월든","","","","Malmö, Sweden","0.0","0.0","","2026-01-27"
"0","show","흑백요리사 시즌2","크라운돼지","restaurant","송훈","","","","서울 강남구 테헤란로","0.0","0.0","","2026-01-27"
"0","show","흑백요리사 시즌2","백운한정식","restaurant","임성근","","","","경기 의왕시 백운호수 근처","0.0","0.0","","2026-01-27"
"0","show","흑백요리사 시즌2","윤서울","restaurant","김도윤","","","","서울 강남구 선릉로 805","0.0","0.0","","2026-01-27"
"0","show","흑백요리사 시즌2","136길 육미","restaurant","최강록","","","","서울 강남구 신사동 136길","0.0","0.0","","2026-01-27"
